State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8322772970569096	0.06907735273811212	0.014343248615461775	0.0018678813027579516	0.07460724839749668	0.001508658485313497	6.174770517045557E-4	0.005255151759534781	4.4568459270911894E-4	0.0
2	0.08007257224590708	0.7391458640583206	0.0949696758205489	0.01604277313604174	1.0915919351955291E-4	3.397119548708961E-4	4.2425533084230663E-4	0.001899282736412249	0.03782341802092795	0.029173287502608572
3	0.008128579084735923	0.04854052570687712	0.7326660750397029	0.1919644391022321	0.003921252530434972	0.0	1.4418118651588147E-7	2.3302472054154966E-5	0.006273634733649838	0.008482047149126332
4	3.2282042023232716E-4	0.0028331174777652774	0.06525671457595952	0.7622419128384584	0.003648676747882899	3.6769206771473256E-4	0.013279939242722406	0.0011582224693342431	0.13223708037564375	0.01865382378428655
5	0.03957233228983743	6.127490964478597E-5	0.0035810843506550393	0.009960112223435173	0.8301708301033265	0.1044217703949206	0.012213461987030999	1.9048093265250304E-5	8.56478842085074E-8	0.0
6	4.067057387835064E-4	7.690210915239261E-5	0.0	4.937090449409097E-4	0.05011442724065044	0.921986424088421	0.0244121282678499	2.951906094972649E-4	0.0022035278747432	1.0985025961423628E-5
7	6.672410279314373E-5	2.961838962158991E-5	1.510361591468581E-5	0.006647542451381654	0.002016877156879236	0.008871301232007264	0.9727483540822902	2.6138923826167965E-4	0.009343089730850547	0.0
8	4.765908445790989E-4	1.3979955486121315E-4	8.565807596688239E-6	5.460141173171152E-4	3.56272135186933E-6	1.1799513502006858E-4	2.3172436154961587E-4	0.9678639366660104	0.030230280469909315	3.815303218047663E-4
9	4.242309172098227E-6	3.4931110907797716E-4	1.1498478544209474E-4	0.006829562389847492	0.0	7.533342085900507E-5	9.51123881455825E-4	0.0034562136923868216	0.9842809224026017	0.003938306009157077
10	0.0	0.0021522931829094823	0.0013682841151553805	0.008425316086066729	0.0	2.089188202685609E-6	0.0	4.046576156941252E-4	0.03397318990282288	0.9536741699091489
